Date	Query	IsImplicitIntent	State	Country	PopularityScore
2020-11-01	boris johnson	True	California	United States	2
2020-11-01	screwfix	True	North Somerset	United Kingdom	100
2020-11-01	fhi	True	Akershus	Norway	1
2020-11-01	cuomo new york travelers test	True	Virginia	United States	1
2020-11-01	geoportail fr	True	Bourgogne-Franche-Comte	France	4
2020-11-01	家賃支援給付金	True	Saitama	Japan	28
2020-11-01	pajemploi	True	Ile-De-France	France	11
2020-11-01	charité berlin	True	Berlin	Germany	4
2020-11-01	attestation de deplacement octobre 2020	True	Normandy	France	3
2020-11-01	coronavirus	False	Mexico City	Mexico	1
2020-11-01	screwfix	True	Telford And Wrekin	United Kingdom	89
2020-11-01	covid 19	False	Alaska	United States	10
2020-11-01	stanford study trump rallies	True	Illinois	United States	2
2020-11-01	cdc coronavirus update	False	Montana	United States	4
2020-11-01	covid vaccine update	False	Virginia	United States	2
2020-11-01	france info	True	Bourgogne-Franche-Comte	France	6
2020-11-01	snl cold open	True	Delaware	United States	58
2020-11-01	stimulus update today	True	Washington	United States	1
2020-11-01	stimulus update	True	Wyoming	United States	3
2020-11-01	the range	True	Falkirk	United Kingdom	88
2020-11-01	고용보험홈페이지	True	South Chungcheong	Korea (South)	25
2020-11-01	hmrc login	True	Buckinghamshire	United Kingdom	20
2020-11-01	covid 19 update	False	Arkansas	United States	6
2020-11-01	コロナウイルス	False	Osaka	Japan	25
2020-11-01	covid 19	False	Federal Territory Of Kuala Lumpur	Malaysia	100
2020-11-01	tesco home delivery	True	North Somerset	United Kingdom	19
2020-11-01	b&q	True	Blackburn With Darwen	United Kingdom	8
2020-11-01	at&t	True	Montana	United States	8
2020-11-01	covid	False	Utah	United States	6
2020-11-01	smyths	True	Newport	United Kingdom	46
2020-11-01	pajemploi assistante maternelle	True	Ile-De-France	France	1
2020-11-01	worldometers coronavirus	False	Delhi	India	81
2020-11-01	covid update	False	Virginia	United States	1
2020-11-01	covid 19	False	Mexico City	Mexico	1
2020-11-01	déplacement covid 19	False	Nouvelle-Aquitaine	France	2
2020-11-01	stop and shop peapod	True	New York	United States	2
